mode,image,category,explanation,gold_label,predicted_label
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-97.jpg,UNIVERSAL_HUMAN,"This Hindi-language meme features Rafiki from *The Lion King* sitting in a serene lotus meditation pose, juxtaposed with the top text reading ""ना चिंता, ना भय..."" (""No worry, no fear..."") and the bottom punchline ""बस आज रात सोने दे!"" (""Just let me sleep tonight!""). The cultural irony stems from subverting the visual expectation of profound spiritual enlightenment by revealing an underlying emotional state of desperate exhaustion and frustration over an inability to rest. Clinically, this comedic yet urgent plea for a good night's rest directly aligns with the ""Sleeping Disorder"" symptom from the glossary, using the exaggerated trope of attaining inner peace to cope with the very grounded distress of insomnia.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-227.jpg,UNIVERSAL_HUMAN,"This meme pairs the Hindi text ""Kidnapper मुझे 20 मिनट झेलने के बाद वापस फेंक के चला गया।""—which translates to ""The kidnapper, after tolerating me for 20 minutes, threw me back and left""—with a slapstick image of Ralph Wiggum from *The Simpsons* being violently tossed headfirst through a shattered glass window. The core joke relies on extreme self-deprecation, utilizing the absurd scenario of a criminal being so frustrated by the victim's insufferable personality that they forcefully return them to convey a popular style of dark, localized internet humor. Emotionally, the meme uses this exaggerated physical rejection and comedic framing to playfully mask an underlying sense of personal inadequacy and the fear of being inherently unlikable. Clinically, by conceptualizing oneself as intensely intolerable and a massive, unwanted burden even to an abductor, the meme presents clear textual and thematic evidence of **Low Self-Esteem**.","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-242.jpg,UNIVERSAL_HUMAN,"This meme features Hindi text translating to, ""When you are at a party and suddenly depression and anxiety hit and you disconnect from the world,"" positioned above an image of singer Chris Brown staring blankly into the distance while sitting apart from an active social group that includes DJ Khaled. The cultural humor stems from the relatable, ironic juxtaposition of being physically present in a vibrant, highly stimulating environment while experiencing an internal psychological crash that forces immediate social withdrawal. Emotionally, the meme captures the profound isolation and silent overwhelm that occurs when a sudden wave of mental distress interrupts what is culturally expected to be a joyful social experience. Clinically, the combination of the text explicitly describing getting ""cut off from the world"" and the visual of the subject's blank, thousand-yard stare directly aligns with a **Concentration Problem**, specifically illustrating the acute dissociation that can accompany sudden anxiety and depressive episodes.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-528.jpg,UNIVERSAL_HUMAN,"The meme features a close-up image of actor Adam Driver sitting in a booth with his eyes peacefully closed and a soft smile, overlaid with the bold yellow Devanagari text ""सुकून"" at the bottom. Translating to ""peace,"" ""tranquility,"" or ""relief"" in Hindi and Urdu, this localized meme utilizes the actor's distinctly relaxed expression to culturally signify a profound, deeply felt moment of inner calm. Emotionally, the literal harmony between the serene image and the translated text conveys a genuine state of psychological comfort, serving as a sincere representation of mental respite rather than masking any underlying distress. As a straightforward expression of positive mental well-being and tranquility, the meme lacks any visual or textual markers of clinical psychological struggle, functioning instead as a celebration of quiet relief.","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/BRAND_DEPENDENT/test/TE-629.jpg,BRAND_DEPENDENT,"This meme features a WhatsApp notification from ""Mummy"" asking ""खाना खाया कि नहीं?"" (Hindi for ""Have you eaten?"") superimposed over a heavily blurred, presumably distraught or crying face. Culturally, the image relies on a prevalent South Asian internet trope satirizing how parents often express love and concern strictly through routine inquiries about food, frequently remaining oblivious to their child's deeper psychological struggles. The emotional weight of the meme stems from the jarring juxtaposition between the user's implied mental breakdown in the background and the mundane, everyday parental text, conveying a deep sense of isolation and the inability to communicate genuine distress to family members. Clinically, the visual implication of intense emotional pain or crying in the obscured background serves to express an underlying psychological struggle, aligning directly with the symptom of Feeling Down.","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-28.jpg,UNIVERSAL_HUMAN,"This meme features a variation of the popular ""crying cat"" template, showing a heavily overweight feline with photoshopped tearful eyes sitting on a veterinary scale, where the digital readout has been edited to display the Hindi text ""भैंस"" (Bhains). The cultural nuance and core joke rely on the fact that ""bhains"" translates to ""buffalo,"" a common South Asian slang insult used to mock someone for being obese, effectively creating a darkly comedic scenario where an inanimate scale is directly fat-shaming the subject. Emotionally, the juxtaposition of the harsh text with the pathetic, teary-eyed animal conveys a deep sense of victimization and sadness, using absurd internet humor to mask the very real psychological distress of confronting a negative body image. Clinically, the explicit visual of the crying eyes directly represents the symptom of Feeling Down, while the overwhelming anxiety and derogatory self-appraisal associated with the scale strongly evoke the body dysmorphia and weight-related distress characteristic of an Eating Disorder.","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/BRAND_DEPENDENT/test/TE-586.jpg,BRAND_DEPENDENT,"Utilizing the classic ""Is this a pigeon?"" template, this localized Indian meme obscures the protagonist with a Kingfisher beer bottle as he gestures toward Gold Flake cigarettes, a glass of chai, and a butterfly labeled ""Muth"" (Hindi slang for masturbation), paired with the bottom text asking, ""Kya yeh balanced diet hai?"" (Is this a balanced diet?). The core joke relies on the dark irony of absurdly framing a highly self-destructive, substance-dependent daily routine as healthy sustenance, conveying an underlying emotional state of self-deprecating resignation that masks severe psychological distress. Clinically, this comedic normalization of substituting proper nutrition and self-care with purely addictive, low-effort coping mechanisms provides visual and textual evidence of a Lack of Interest, as the imagery illustrates a profound apathy and an inability to maintain or enjoy normal life, relying instead on cheap dopamine hits just to get by.","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-206.jpg,UNIVERSAL_HUMAN,"This meme consists of a Hindi tweet translating to, ""I am waiting for the phone to disconnect so that I can message and ask - 'Yes brother, what did you need?'"" accompanied by a reaction image of an anime character staring blankly at a screen with severe, dark circles under their eyes. The cultural humor centers on modern phone anxiety and introversion, specifically the relatable irony of actively watching a phone ring out just to immediately text the caller instead of answering verbally. Emotionally, the pairing of a casual communication-avoidance strategy with an image of profound physical and mental depletion suggests that simple social interactions trigger an overwhelming sense of dread or exhaustion. From a clinical perspective, the character's visibly drained appearance and deeply bagged eyes explicitly depict exhaustion, pointing to a **Sleeping Disorder**, while the behavioral paralysis of ignoring the call reflects a broader apathy and **Lack of Interest** in engaging with everyday social connections.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-655.jpg,UNIVERSAL_HUMAN,"This meme features a cheerful, pink-haired anime girl holding a comforting miniature chibi version of herself, accompanied by Hinglish text stating ""Test में मुझे सचमुच कुछ नहीं आता during a test"" (I truly know nothing during a test) while the tiny girl advises, ""- खत्म होने के बाद घर जाकर anime देख लेना"" (After it finishes, go home and watch anime). Culturally, the image plays on the relatable student experience of entirely blanking on an exam, utilizing a visually soothing and cute aesthetic to humorously mask the underlying anxiety of academic failure through immediate media escapism. Clinically, the explicit admission of being completely unable to recall information or engage with the exam material aligns with a **Concentration Problem**, demonstrating acute academic paralysis where the individual completely abandons the stressful cognitive task in favor of avoidant, comforting thoughts.","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-440.jpg,UNIVERSAL_HUMAN,"This meme features a still of Alec Baldwin resting his chin on his hands with a deadpan, unimpressed expression, accompanied by Hindi text translating to ""Me after 3 months in any relationship: This is boring. I am bored now."" The core joke highlights the fleeting nature of the honeymoon phase in modern romance, using the character's signature apathy to humorously convey an underlying emotional state of detachment, emotional unavailability, and chronic dissatisfaction. Clinically, the meme's explicit textual declarations of profound boredom and inability to sustain engagement in intimate relationships align directly with the symptom of a **Lack of Interest**, illustrating a form of interpersonal anhedonia masked as relatable, cynical internet humor.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-229.jpg,UNIVERSAL_HUMAN,"This Hindi-language meme features top text translating to ""Me after being happy for just 5 minutes:"" alongside an illustration of a sweating, terrified figure being ambushed by a menacing, gun-wielding green entity labeled ""डिप्रेशन"" (Depression). The dark humor relies on the cultural nuance of the hostile entity politely greeting its victim with ""नमस्ते"" (Namaste) while holding them at gunpoint, illustrating a cruel irony where severe psychological distress casually and violently interrupts a brief period of joy. Emotionally, the juxtaposition of the text regarding fleeting happiness with the visual of an imminent, inescapable threat conveys an underlying state of hypervigilance and the crushing dread that positive emotions cannot be sustained. Clinically, the explicit personification of depression as a forceful, armed attacker that abruptly ends a person's happiness provides direct evidence of the ""Feeling Down"" symptom, depicting emotional pain and hopelessness as a sudden, uncontrollable assault.","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/CELEBRITY_DEPENDENT/test/TE-470.jpg,CELEBRITY_DEPENDENT,"The meme features Hinglish text translating to ""Me waking up like this at 8:46 PM after accidentally taking a 6-hour depression nap,"" juxtaposed above an image of the notoriously self-destructive Bollywood character Kabir Singh looking heavily disheveled and exhausted while smoking alone at night. Culturally, the meme relies on this specific cinematic character as a localized shorthand for hitting an emotional rock bottom, capturing the bleak, disorienting void one feels upon waking up in the dark after trying to sleep away psychological distress. Clinically, the explicit textual mention of taking a six-hour ""depression nap"" during the day directly demonstrates a Sleeping Disorder, specifically highlighting the symptom of sleeping excessively to avoid life and the resulting ruined circadian rhythms.","[1,0,0,0,0,0,1]",
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-616.jpg,UNIVERSAL_HUMAN,"This meme features Hindi text translating to ""Strict parents: We grind our child in studies so that they get a government job. Their child:"" juxtaposed with a multi-panel template of Tom the cat engaging in lethal acts, including swallowing a handful of pills, preparing a noose, and sitting despondently on train tracks. The dark humor critiques the intense academic pressure prevalent in South Asian cultures, where parents' well-intentioned push for a stable, prestigious career ironically leads to severe psychological breakdown rather than practical success. Emotionally, the meme conveys a state of extreme despair, using the dramatic contrast between the parents' practical career aspirations and the child's hidden agony to highlight profound distress. Clinically, the explicit visual depictions of suicide methods directly align with the symptom of Self-Harm, while Tom's hopeless, heavy-eyed expression in the final panel provides clear evidence of Feeling Down.","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-289.jpg,UNIVERSAL_HUMAN,"This meme features a black-and-white manga panel of a sweetly smiling character, accompanied by Hindi text setting up a mundane scenario: ""Me: *makes eye contact with a girl in class* / That girl:"". The core humor stems from the jarring juxtaposition between the girl's serene, friendly expression and the highly aggressive, vulgar Hindi text in her speech bubble (""भाड़ में जा साले, कमीने कहीं के,"" translating roughly to ""Go to hell asshole, you scoundrel""), highlighting a localized internet trope of exaggerated romantic rejection. Emotionally, this stark contrast is used to mask the creator's social anxiety, projecting a sense of immediate, visceral disgust from the opposite sex over a simple passing glance. Clinically, this intense self-deprecating framing—where the creator assumes they are so inherently repulsive that mere eye contact warrants extreme verbal abuse—aligns with the symptom of Low Self-Esteem, reflecting internalized feelings of being completely undesirable or a target of contempt in social settings.","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/UNIVERSAL_HUMAN/test/TE-7.jpg,UNIVERSAL_HUMAN,"This two-panel Hinglish meme utilizes a reaction template of an innocent-looking anime girl tucked into bed to illustrate a darkly comedic psychological scenario. In the first panel, the character, labeled ""मैं"" (Me), calmly denies the prompt ""डॉक्टर: क्या तुम्हें किसी को मारने के thoughts आते हैं?"" (Doctor: Do you get thoughts of killing someone?), but she nervously averts her eyes in the second panel when asked ""डॉक्टर: क्या तुम्हें suicidal thoughts आते हैं?"" (Doctor: Do you get suicidal thoughts?). The underlying emotional context reveals severe distress masked by a cute, non-threatening aesthetic, relying on localized internet humor where casually admitting to inward-directed danger is more relatable than outward aggression. Clinically, the explicit textual mention of ""suicidal thoughts"" paired with the character's suspiciously guilty reaction serves as a direct confession of the symptom of Self-Harm.","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
explanation_only,/Users/soureeshdalal/Desktop/categorization/translated_categorized_memes/POP_CULTURE_DEPENDENT/test/TE-166.jpg,POP_CULTURE_DEPENDENT,"The meme utilizes a progressive ""team huddle"" visual template featuring animated hands in Indian cricket jerseys stacking together, each labeled with translated Hindi text describing psychological struggles such as ""Who am I?"", ""Doing anything without thinking"", ""Feeling like dying"", ""mood swings"", ""unstable relationships"", and ""fear of loneliness"". Culturally grounded in South Asian internet humor, the bottom panel punchline reads ""Welcome to the hub of overthinking and drama!"", depicting these collective traits as serious-looking cricketers being greeted by a goofy, brightly dressed animated Bollywood comedian character. This creates a stark emotional juxtaposition that uses the upbeat, team-building imagery of sports camaraderie and cartoonish comedy to mask and awkwardly normalize profound psychological distress. Clinically, the explicit inclusion of the panel reading ""'मरने का मन' होना"" (translated as ""feeling like dying"" or ""wanting to die"") serves as direct textual evidence aligning with the Self-Harm symptom.","[1,0,1,0,1,0,0]",
